Class #,Date,Day,Topics (Tentative),Reference
,18-Aug-26,T,Fall 2026 Classes Begin,
1,19-Aug-26,W,Syllabus / Road user and vehicle characteristics,Ch. 1 & 2
2,24-Aug-26,M,Roadways and their geometric characteristics,Ch. 3
3,26-Aug-26,W,Roadways and their geometric characteristics,Ch. 3
4,31-Aug-26,M,Traffic Control Devices,Ch. 4
5,2-Sep-26,W,Traffic stream characteristics,Ch. 5
,7-Sep-26,M,Labor Day (No Class),
6,9-Sep-26,W,Introduction to traffic flow theory,Ch. 6
7,14-Sep-26,M,Introduction to traffic flow theory (cont.),Ch. 7
8,16-Sep-26,W,Statistical applications in traffic engineering & data,Ch. 9
9,21-Sep-26,M,Freeways and Multi-Lane Highways,Ch. 28
10,23-Sep-26,W,Weaving Movements,Ch. 29
11,28-Sep-26,M,Merging and Diverging Movements,Ch. 30
12,30-Sep-26,W,Hierarchy of intersection control,Ch. 15
13,5-Oct-26,M,Intersection design and layout,Ch. 17
14,7-Oct-26,W,Intersection design and layout (cont.),Ch. 17
15,12-Oct-26,M,Exam 1  ,
16,14-Oct-26,W,Principles of Signal Timing and Design,"Ch. 18, 19"
17,19-Oct-26,M,Fundamentals of actuated signal design,Ch. 20
18,21-Oct-26,W,Signal coordination for arterials and networks,Ch. 21
19,26-Oct-26,M,HCM/HCS Workshop,Lab
20,28-Oct-26,W,Analysis of Signalized Intersections,Ch. 23
21,2-Nov-26,M,Analysis of Urban Streets,Ch. 24
22,4-Nov-26,W,Synchro 10 Workshop,Lab
23,9-Nov-26,M,Analysis of Urban Streets,Ch. 24
24,11-Nov-26,W,Synchro 10 Workshop,Lab
25,16-Nov-26,M,Analysis of Unsignalized Intersections,Ch. 25
26,18-Nov-26,W,Analysis of Unsignalized Intersections,Ch. 25
,23-Nov-26,M,Thanksgiving Recess (no classes),
,25-Nov-26,W,Thanksgiving Recess (no classes),
27,30-Nov-26,M,TBD,
28,2-Dec-26,W,TBD,
29,TBD,,Exam 2,
